term,action,risk_category,match_field,match_type,source_type,note,enabled
第3類医薬品,BLOCK,medical_or_therapeutic,title,contains,internal_rule,"PH-D014; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 明示的な日本OTC区分; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
薬用,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D015; source: Shopee PH policyと当社決定; source date: 2026-07-18; regulatory position: SGのBLOCKをPHへコピーしない; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
医薬部外品,REVIEW,medical_or_therapeutic,all,contains,internal_rule,"PH-D016; source: Shopee PH policyと当社決定; source date: 2026-07-18; regulatory position: PHでは初回REVIEW; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
quasi-drug,REVIEW,medical_or_therapeutic,all,contains,internal_rule,"PH-D017; source: Shopee PH policyと当社決定; source date: 2026-07-18; regulatory position: SGのBLOCKをPHへコピーしない; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
medicated,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D018; source: Shopee PH policyと当社決定; source date: 2026-07-18; regulatory position: 薬用相当か一般表現かを確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
COVID-19 test kit,BLOCK,medical_or_therapeutic,title,contains,internal_rule,"PH-D019; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: ユーザー確定により明示キットをBLOCK; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
COVID19 test kit,BLOCK,medical_or_therapeutic,title,contains,internal_rule,"PH-D020; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: ハイフンなし表記; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
HIV test kit,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D021; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 一括BLOCKせず実物確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
diagnostic test kit,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D022; source: Philippine FDA medical-device framework; source date: 2021; regulatory position: その他検査キットはREVIEW; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
医療用針,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D023; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体なら当社運用BLOCK・初回は付属品確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
注射針,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D024; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体なら当社運用BLOCK; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
hypodermic needle,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D025; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: needle単独は使わず複合語のみ; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
tattoo needle,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D026; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体ならBLOCK・収納等を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
microblading needle,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D027; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体ならBLOCK; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
コンタクトレンズ,REVIEW,medical_or_therapeutic,title,contains,shopee_policy,"PH-D028; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 本体ならBLOCK・ケースや洗浄品を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
contact lenses,REVIEW,medical_or_therapeutic,title,contains,shopee_policy,"PH-D029; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 本体ならBLOCK・付属品確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
カラーコンタクト,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D030; source: Shopee PH policyと医療機器リスク; source date: 2025-04-28; regulatory position: 本体ならBLOCK; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
カラコン,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D031; source: Shopee PH policyと医療機器リスク; source date: 2025-04-28; regulatory position: 略称による候補検出; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
中古化粧品,REVIEW,medical_or_therapeutic,title,contains,shopee_policy,"PH-D032; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: used単独を使わない明示複合語; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
使用済み化粧品,REVIEW,medical_or_therapeutic,title,contains,shopee_policy,"PH-D033; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 明示的な使用済み化粧品; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
used cosmetics,REVIEW,medical_or_therapeutic,title,contains,shopee_policy,"PH-D034; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 英語では修飾文脈誤検出を考慮し初回REVIEW; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
発毛促進,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D035; source: Shopee PH policyと美容領域保守方針; source date: 2025-04-28; regulatory position: 治療的美容主張を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
hair growth,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D036; source: Shopee PH policyと美容領域保守方針; source date: 2025-04-28; regulatory position: 治療的主張の可能性; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
hair loss,REVIEW,medical_or_therapeutic,title,contains,internal_rule,"PH-D037; source: Shopee PH policyと美容領域保守方針; source date: 2025-04-28; regulatory position: 脱毛治療主張の可能性; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
dietary supplement,REVIEW,food_restricted,title,contains,shopee_policy,"PH-D038; source: Shopee PH policyとBOC CMO 09-2015; source date: 2025-04-28; regulatory position: 全面禁止と表現せず許認可・成分・期限を手動確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
food supplement,REVIEW,food_restricted,title,contains,internal_rule,"PH-D039; source: BOC CMO 09-2015; source date: 2015-04-10; regulatory position: 規制輸入として確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
サプリメント,REVIEW,food_restricted,title,contains,internal_rule,"PH-D040; source: Shopee PH policyとBOC CMO 09-2015; source date: 2025-04-28; regulatory position: 実物確認後に許認可等を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
健康食品,REVIEW,food_restricted,title,contains,internal_rule,"PH-D041; source: BOC CMO 09-2015; source date: 2015-04-10; regulatory position: 食品規制と医療主張を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
infant formula,REVIEW,food_restricted,title,contains,internal_rule,"PH-D042; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体なら当社物流BLOCK・容器を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
乳児用調製粉乳,REVIEW,food_restricted,title,contains,internal_rule,"PH-D043; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 明示的な乳幼児用乳製品; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
粉ミルク,REVIEW,food_restricted,title,contains,internal_rule,"PH-D044; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 対象年齢や容器を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
未殺菌乳,REVIEW,food_restricted,title,contains,shopee_policy,"PH-D045; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 明示禁止食品; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
non-pasteurised dairy,REVIEW,food_restricted,title,contains,shopee_policy,"PH-D046; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 明示禁止食品; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
wild mushroom,REVIEW,food_restricted,title,contains,shopee_policy,"PH-D047; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 食品本体ならBLOCK・雑貨等を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
野生キノコ,REVIEW,food_restricted,title,contains,shopee_policy,"PH-D048; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 食品本体ならBLOCK; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
pet food,REVIEW,license_or_certification_required,title,contains,internal_rule,"PH-D049; source: BOC CMO 09-2015; source date: 2015-04-10; regulatory position: 全面禁止とせず許認可・成分・期限確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
ペットフード,REVIEW,license_or_certification_required,title,contains,internal_rule,"PH-D050; source: BOC CMO 09-2015; source date: 2015-04-10; regulatory position: 実物確認後に要件不足なら手動除外; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
動物用医薬品,REVIEW,license_or_certification_required,title,contains,internal_rule,"PH-D051; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 通常運用で許可確認しない; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
pet medicine,REVIEW,license_or_certification_required,title,contains,internal_rule,"PH-D052; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体ならBLOCK・収納等を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
pesticide,REVIEW,pesticide_or_hazardous,title,contains,internal_rule,"PH-D053; source: FPA unauthorized online selling clarification; source date: 2026-01-23; regulatory position: 本体ならBLOCK・散布器等を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
殺虫剤,REVIEW,pesticide_or_hazardous,title,contains,internal_rule,"PH-D054; source: FPA unauthorized online selling clarification; source date: 2026-01-23; regulatory position: 明示商品語; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
農薬,REVIEW,pesticide_or_hazardous,title,contains,internal_rule,"PH-D055; source: FPA unauthorized online selling clarification; source date: 2026-01-23; regulatory position: 本体ならBLOCK・書籍や器具を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
除草剤,REVIEW,pesticide_or_hazardous,title,contains,internal_rule,"PH-D056; source: FPA unauthorized online selling clarification; source date: 2026-01-23; regulatory position: 明示商品語; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
fertilizer,REVIEW,pesticide_or_hazardous,title,contains,internal_rule,"PH-D057; source: FPA unauthorized online selling clarification; source date: 2026-01-23; regulatory position: 本体ならBLOCK・散布器等を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
肥料,REVIEW,pesticide_or_hazardous,title,contains,internal_rule,"PH-D058; source: FPA unauthorized online selling clarification; source date: 2026-01-23; regulatory position: 本体ならBLOCK・器具や書籍を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
electronic cigarette,BLOCK,tobacco_or_vape,title,contains,shopee_policy,"PH-D059; source: Shopee PH policyとSLS PH欄; source date: 2025-04-28; regulatory position: 本体ならBLOCK・ケースを確認; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
e-cigarette,BLOCK,tobacco_or_vape,title,contains,shopee_policy,"PH-D060; source: Shopee PH policyとSLS PH欄; source date: 2025-04-28; regulatory position: 本体ならBLOCK; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
電子タバコ,BLOCK,tobacco_or_vape,title,contains,shopee_policy,"PH-D061; source: Shopee PH policyとSLS PH欄; source date: 2025-04-28; regulatory position: 本体ならBLOCK・ケースを確認; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
e-juice,BLOCK,tobacco_or_vape,title,contains,shopee_policy,"PH-D062; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 電子タバコ用液体; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
vape pod,BLOCK,tobacco_or_vape,title,contains,internal_rule,"PH-D063; source: Shopee PH policyとSLS PH欄; source date: 2025-04-28; regulatory position: 本体・消耗品ならBLOCK; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
アルコール飲料,REVIEW,alcohol,title,contains,shopee_policy,"PH-D064; source: Shopee PH policyとSLS PH欄; source date: 2025-04-28; regulatory position: ライセンス未提出かつSLS対象外; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
alcoholic beverage,REVIEW,alcohol,title,contains,shopee_policy,"PH-D065; source: Shopee PH policyとSLS PH欄; source date: 2025-04-28; regulatory position: 本体ならBLOCK・用品を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
スタンガン,BLOCK,weapon,title,contains,shopee_policy,"PH-D066; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 明示的武器語; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
stun gun,BLOCK,weapon,title,contains,shopee_policy,"PH-D067; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: gun単独を使わない複合語; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
pepper spray,BLOCK,weapon,title,contains,shopee_policy,"PH-D068; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 本体ならBLOCK・ケースを確認; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
催涙スプレー,BLOCK,weapon,title,contains,shopee_policy,"PH-D069; source: Shopee PH Prohibited and Restricted Items Policy; source date: 2025-04-28; regulatory position: 明示的護身武器; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
kitchen knife,BLOCK,weapon,title,contains,internal_rule,"PH-D070; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 明示本体は当社BLOCK・付属品を確認; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
chef knife,BLOCK,weapon,title,contains,internal_rule,"PH-D071; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 明示本体は当社BLOCK・付属品を確認; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
包丁,BLOCK,weapon,title,contains,internal_rule,"PH-D072; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体なら当社BLOCK; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
power bank,BLOCK,shipping_restricted,title,contains,internal_rule,"PH-D073; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: policy BLOCK・trigger REVIEWの確定例; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
powerbank,BLOCK,shipping_restricted,title,contains,internal_rule,"PH-D074; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 本体ならSLS発送不可; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
モバイルバッテリー,BLOCK,shipping_restricted,title,contains,internal_rule,"PH-D075; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: SG REVIEWからPHはpolicy BLOCK; company operation: BLOCK as an internal candidate exclusion; this does not necessarily mean a legal total prohibition; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
lithium battery,REVIEW,shipping_restricted,title,contains,internal_rule,"PH-D076; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 本体ならBLOCK・機器内蔵や交換部品確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
リチウム電池,REVIEW,shipping_restricted,title,contains,internal_rule,"PH-D077; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 本体ならBLOCK; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
eau de parfum,REVIEW,shipping_restricted,title,contains,internal_rule,"PH-D078; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 香水本体の明示語; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
eau de toilette,REVIEW,shipping_restricted,title,contains,internal_rule,"PH-D079; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 香水本体の明示語; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
オードパルファム,REVIEW,shipping_restricted,title,contains,internal_rule,"PH-D080; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 香水本体の明示語; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
ネイルポリッシュ,REVIEW,shipping_restricted,title,contains,internal_rule,"PH-D081; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 本体ならBLOCK・収納用品確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
nail polish remover,REVIEW,shipping_restricted,title,contains,internal_rule,"PH-D082; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 本体ならBLOCK; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
除光液,REVIEW,shipping_restricted,title,contains,internal_rule,"PH-D083; source: SLS出品可否確認表PH欄; source date: table_internal_2024-03-14; regulatory position: 明示的な可燃性液体; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
walkie talkie,REVIEW,license_or_certification_required,title,contains,internal_rule,"PH-D084; source: Shopee PH policyとNTC rules; source date: 2025-04-28; regulatory position: NTC登録状態を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
two-way radio,REVIEW,license_or_certification_required,title,contains,internal_rule,"PH-D085; source: Shopee PH policyとNTC rules; source date: 2025-04-28; regulatory position: 未登録機器のみ禁止; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
トランシーバー,REVIEW,license_or_certification_required,title,contains,internal_rule,"PH-D086; source: Shopee PH policyとNTC rules; source date: 2025-04-28; regulatory position: 登録・型式を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
adult toy,REVIEW,other,title,contains,internal_rule,"PH-D087; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体ならBLOCK・一般adult表現を確認; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
sex toy,REVIEW,other,title,contains,internal_rule,"PH-D088; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 本体ならBLOCK; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
アダルトグッズ,REVIEW,other,title,contains,internal_rule,"PH-D089; source: Shopee Japan販売規制ガイドPH欄; source date: date_not_shown; regulatory position: 明示的商品群; company operation: REVIEW for manual verification before listing; accessories may partially match, but initial PH operation prioritizes account safety",TRUE
